#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-29T18:43:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c509eb057ec	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000|_DEJ2000|RAJ2000|DEJ2000|Vmag|B-V
165.238333|-15.792778|11 00 57.2|-15 47 34| 6.34| 1.18
165.170000|-31.839444|11 00 40.8|-31 50 22| 6.07| 0.52
165.457083| -2.484722|11 01 49.7|-02 29 05| 4.74| 1.62
165.582500|+20.179722|11 02 19.8|+20 10 47| 4.42| 0.05
165.932083|+61.750833|11 03 43.7|+61 45 03| 1.79| 1.07
165.601667|-26.831389|11 02 24.4|-26 49 53| 6.23| 0.31
165.810833| -0.752500|11 03 14.6|-00 45 09| 6.14| 0.26
164.803750|-81.556111|10 59 12.9|-81 33 22| 6.71| 0.55
165.812083|-11.303611|11 03 14.9|-11 18 13| 5.50| 0.94
165.902500| -0.000833|11 03 36.6|-00 00 03| 5.95| 1.22
165.817083|-31.960833|11 03 16.1|-31 57 39| 6.46| 1.62
165.902083|-13.434444|11 03 36.5|-13 26 04| 6.34| 0.88
166.130000|+38.241389|11 04 31.2|+38 14 29| 6.00| 0.16
166.254167| +7.336111|11 05 01.0|+07 20 10| 4.63| 0.33
166.130000|-47.679167|11 04 31.2|-47 40 45| 5.67| 0.24
164.807500|-84.593889|10 59 13.8|-84 35 38| 6.19| 0.11
166.225833|-35.804722|11 04 54.2|-35 48 17| 5.43| 0.03
166.332917|-27.293611|11 05 19.9|-27 17 37| 4.94| 0.36
166.391667|-11.088889|11 05 34.0|-11 05 20| 6.09| 0.30
166.267500|-49.392500|11 05 04.2|-49 23 33| 6.13|-0.02
166.490000|-27.287778|11 05 57.6|-27 17 16| 5.71|-0.06
166.524167|-51.212500|11 06 05.8|-51 12 45| 6.30| 0.95
166.725833| +1.955556|11 06 54.2|+01 57 20| 5.52| 0.97
166.661250|-28.727778|11 06 38.7|-28 43 40| 6.77| 0.04
166.614167|-50.956667|11 06 27.4|-50 57 24| 6.32| 1.16
166.915417|+23.323611|11 07 39.7|+23 19 25| 6.46| 0.16
166.622083|-58.675278|11 06 29.3|-58 40 31| 6.02| 1.24
166.785000|-32.587222|11 07 08.4|-32 35 14| 6.59| 0.34
166.635000|-62.424167|11 06 32.4|-62 25 27| 4.61| 1.03
166.600833|-64.839722|11 06 24.2|-64 50 23| 6.41| 0.12
166.819167|-42.638611|11 07 16.6|-42 38 19| 5.15| 0.03
166.976667|-30.174722|11 07 54.4|-30 10 29| 6.54| 0.60
166.707917|-70.878056|11 06 49.9|-70 52 41| 5.57|-0.05
167.416250|+67.210278|11 09 39.9|+67 12 37| 6.06| 0.22
167.065833|-29.972778|11 08 15.8|-29 58 22| 6.49| 0.03
167.204583|+24.658333|11 08 49.1|+24 39 30| 5.68| 0.06
167.329583|+36.309444|11 09 19.1|+36 18 34| 5.74| 1.51
167.182917|-28.080556|11 08 43.9|-28 04 50| 5.44| 0.07
167.415833|+44.498611|11 09 39.8|+44 29 55| 3.01| 1.14
167.410417|+43.207500|11 09 38.5|+43 12 27| 5.89| 1.57
167.147500|-58.975000|11 08 35.4|-58 58 30| 3.91| 1.23
167.141667|-61.947222|11 08 34.0|-61 56 50| 5.13| 0.22
167.472500|-32.367500|11 09 53.4|-32 22 03| 5.81| 0.04
168.045833|+68.271944|11 12 11.0|+68 16 19| 6.40|
167.932083|+14.400278|11 11 43.7|+14 24 01| 6.30| 0.21
167.727917|-58.455278|11 10 54.7|-58 27 19| 6.88|-0.08
167.914583|-22.825833|11 11 39.5|-22 49 33| 4.48| 0.03
168.185417|+54.894167|11 12 44.5|+54 53 39| 6.63|
168.134167|+35.813611|11 12 32.2|+35 48 49| 6.41| 0.61
168.061667|-32.433889|11 12 14.8|-32 26 02| 6.38| 1.70
168.126667|-18.500000|11 12 30.4|-18 30 00| 6.13|-0.01
168.144167|-21.749167|11 12 34.6|-21 44 57| 6.40| 1.38
167.872917|-71.436389|11 11 29.5|-71 26 11| 6.35| 1.37
168.137917|-49.101111|11 12 33.1|-49 06 04| 5.36| 0.18
168.417500|+41.088611|11 13 40.2|+41 05 19| 6.33| 1.15
168.150000|-60.317500|11 12 36.0|-60 19 03| 4.60| 0.55
168.237083|-49.736389|11 12 56.9|-49 44 11| 6.11| 1.06
168.311250|-44.372222|11 13 14.7|-44 22 20| 5.80| 1.66
168.188333|-64.169722|11 12 45.2|-64 10 11| 5.23|-0.06
168.440000| -0.069722|11 13 45.6|-00 04 11| 5.42|-0.03
168.527083|+20.523611|11 14 06.5|+20 31 25| 2.56| 0.12
168.507500| +8.060556|11 14 01.8|+08 03 38| 5.79| 1.12
168.560000|+15.429444|11 14 14.4|+15 25 46| 3.34|-0.01
168.413750|-53.231667|11 13 39.3|-53 13 54| 5.76| 1.32
168.378333|-59.619444|11 13 30.8|-59 37 10| 5.74|-0.10
168.800833|+23.095556|11 15 12.2|+23 05 44| 4.63| 1.66
169.016667|+52.773056|11 16 04.0|+52 46 23| 6.50| 0.43
168.725000|-43.734167|11 14 54.0|-43 44 03| 6.21| 1.61
168.966250|+13.307500|11 15 51.9|+13 18 27| 5.32| 1.20
168.990833|+12.844722|11 15 57.8|+12 50 41| 6.67| 0.27
169.174583|+49.476389|11 16 41.9|+49 28 35| 5.88| 1.08
169.165417| -3.651667|11 16 39.7|-03 39 06| 4.47| 0.21
169.242500| -7.134722|11 16 58.2|-07 08 05| 6.14| 0.20
169.115417|-45.880000|11 16 27.7|-45 52 48| 6.31| 0.40
169.322500| +2.010556|11 17 17.4|+02 00 38| 5.18| 1.52
169.299167|-38.014444|11 17 11.8|-38 00 52| 6.27| 0.10
169.413333|-34.737222|11 17 39.2|-34 44 14| 6.45| 0.40
169.545417|+31.529167|11 18 10.9|+31 31 45| 4.87|
169.545833|+31.529167|11 18 11.0|+31 31 45| 4.41| 0.59
169.429167|-36.534444|11 17 43.0|-36 32 04| 6.68| 0.98
169.619583|+33.094167|11 18 28.7|+33 05 39| 3.48| 1.40
169.587500|+11.984722|11 18 21.0|+11 59 05| 6.66| 0.07
169.329167|-67.823611|11 17 19.0|-67 49 25| 6.06| 1.76
169.782917|+38.185556|11 19 07.9|+38 11 08| 4.78| 0.12
169.729167| +1.650556|11 18 55.0|+01 39 02| 5.91| 1.04
169.835417|-14.778611|11 19 20.5|-14 46 43| 3.56| 1.12
170.224167|+67.100556|11 20 53.8|+67 06 02| 6.21| 1.01
169.818750|-64.582500|11 19 16.5|-64 34 57| 5.99| 0.46
169.642917|-79.668611|11 18 34.3|-79 40 07| 6.35| 0.26
170.284167| +6.029444|11 21 08.2|+06 01 46| 4.05|-0.06
169.901250|-75.142500|11 19 36.3|-75 08 33| 6.27|-0.03
170.455417|+57.075000|11 21 49.3|+57 04 30| 6.43| 0.15
170.016250|-71.994444|11 20 03.9|-71 59 40| 6.41| 0.05
170.251667|-54.491111|11 21 00.4|-54 29 28| 3.89|-0.15
170.713750|+64.330556|11 22 51.3|+64 19 50| 6.02| 0.09
170.706667|+43.482778|11 22 49.6|+43 28 58| 4.99| 0.99
170.596250|-44.645833|11 22 23.1|-44 38 45| 6.12| 0.92
170.825000| +0.131667|11 23 18.0|+00 07 54| 6.05| 1.46
170.841250|-18.780000|11 23 21.9|-18 46 48| 5.09| 0.42
170.802917|-36.164722|11 23 12.7|-36 09 53| 5.00| 1.46
170.487917|-77.608333|11 21 57.1|-77 36 30| 6.43| 0.20
170.783750|-56.779444|11 23 08.1|-56 46 46| 5.79| 0.01
170.981250|+10.529167|11 23 55.5|+10 31 45| 3.94| 0.41
171.009583| +1.407778|11 24 02.3|+01 24 28| 5.39| 0.94
170.840833|-64.955000|11 23 21.8|-64 57 18| 5.11|-0.08
171.152500|-10.859444|11 24 36.6|-10 51 34| 4.83| 1.56
171.092083|-42.669167|11 24 22.1|-42 40 09| 6.12|-0.18
171.245417|+11.430278|11 24 58.9|+11 25 49| 5.80| 1.38
171.220417|-17.683889|11 24 52.9|-17 41 02| 4.08| 0.21
171.046250|-72.256667|11 24 11.1|-72 15 24| 5.59| 0.06
171.487917|+55.850556|11 25 57.1|+55 51 02| 5.75|
171.401667|+16.456389|11 25 36.4|+16 27 23| 5.57| 0.36
171.372500|-36.063056|11 25 29.4|-36 03 47| 5.22| 0.99
171.458333| +3.860000|11 25 50.0|+03 51 36| 6.37| 0.33
171.387917|-37.747778|11 25 33.1|-37 44 52| 5.89| 1.54
171.606250|+33.450556|11 26 25.5|+33 27 02| 6.32| 0.43
171.430000|-63.972778|11 25 43.2|-63 58 22| 5.17| 0.50
171.688750| +3.013056|11 26 45.3|+03 00 47| 6.50| 0.79
171.647083|-61.115278|11 26 35.3|-61 06 55| 5.30|-0.08
171.789583|-12.356667|11 27 09.5|-12 21 24| 5.94| 0.49
171.697083|-53.160000|11 26 47.3|-53 09 36| 5.81| 0.52
171.984167| +2.856111|11 27 56.2|+02 51 22| 4.95| 1.00
171.973750| -1.700000|11 27 53.7|-01 42 00| 6.25| 1.04
171.993750|-35.328611|11 27 58.5|-35 19 43| 6.45|
172.269167|+61.778333|11 29 04.6|+61 46 42| 5.83| 0.36
172.267500|+39.336944|11 29 04.2|+39 20 13| 5.31| 0.01
172.146250|-42.674167|11 28 35.1|-42 40 27| 5.08|-0.03
172.431250|+56.737500|11 29 43.5|+56 44 15| 6.28| 0.15
172.075833|-72.474444|11 28 18.2|-72 28 28| 6.09| 0.16
172.424583|+15.413333|11 29 41.9|+15 24 48| 5.74| 1.32
172.553750|+54.361667|11 30 12.9|+54 21 42| 6.41|
172.410833|-24.463333|11 29 38.6|-24 27 48| 5.76| 0.07
172.960000|+81.127222|11 31 50.4|+81 07 38| 6.15| 0.24
172.604167|+46.657500|11 30 25.0|+46 39 27| 6.35| 1.27
172.629583|+43.173333|11 30 31.1|+43 10 24| 5.94| 0.49
172.578750| -3.003611|11 30 18.9|-03 00 13| 4.77| 1.54
172.620833|+18.409722|11 30 29.0|+18 24 35| 5.52| 1.05
172.850833|+69.331111|11 31 24.2|+69 19 52| 3.84| 1.62
172.720417|+47.929167|11 30 52.9|+47 55 45| 6.42| 0.88
172.792500|+48.789167|11 31 10.2|+48 47 21| 6.56| 0.93
172.937083|+14.364444|11 31 44.9|+14 21 52| 6.20| 0.57
172.812500|-61.278333|11 31 15.0|-61 16 42| 6.38| 0.52
173.086667|+61.082500|11 32 20.8|+61 04 57| 5.48| 0.50
172.948333|-20.776667|11 31 47.6|-20 46 36| 6.24| 0.54
172.942083|-59.442222|11 31 46.1|-59 26 32| 5.13| 1.08
172.953333|-59.515833|11 31 48.8|-59 30 57| 5.15| 0.49
173.067083|-29.263333|11 32 16.1|-29 15 48| 5.81| 0.53
173.067917|-29.261111|11 32 16.3|-29 15 40| 5.64| 0.53
173.097083|-26.746667|11 32 23.3|-26 44 48| 6.16| 1.66
173.197917| -7.827500|11 32 47.5|-07 49 39| 5.95| 1.38
173.200417|-40.436389|11 32 48.1|-40 26 11| 5.64| 1.58
173.082917|-66.962222|11 32 19.9|-66 57 44| 5.90| 1.13
173.225417|-31.087222|11 32 54.1|-31 05 14| 5.04| 1.58
173.250417|-31.857778|11 33 00.1|-31 51 28| 3.54| 0.94
173.310833|-16.280556|11 33 14.6|-16 16 50| 6.05| 0.60
173.484583|+36.815556|11 33 56.3|+36 48 56| 6.40| 1.05
173.405417|-40.586944|11 33 37.3|-40 35 13| 5.39| 0.12
173.541667|+11.023611|11 34 10.0|+11 01 25| 6.55| 0.18
173.591667| +3.060000|11 34 22.0|+03 03 36| 5.77| 0.46
173.677083|+16.796944|11 34 42.5|+16 47 49| 5.95|-0.16
173.770417|+54.785278|11 35 04.9|+54 47 07| 5.63| 1.02
173.622917|-32.831389|11 34 29.5|-32 49 53| 5.98| 0.81
173.765833|+20.441389|11 35 03.8|+20 26 29| 6.45| 1.01
173.690417|-54.264167|11 34 45.7|-54 15 51| 4.62|-0.08
174.011667|+69.322778|11 36 02.8|+69 19 22| 5.20| 1.01
173.736667|-49.136667|11 34 56.8|-49 08 12| 5.50| 1.04
173.805000|-47.372500|11 35 13.2|-47 22 21| 5.71| 1.66
173.930833|+10.911111|11 35 43.4|+10 54 40| 6.56| 0.13
174.074583|+27.781111|11 36 17.9|+27 46 52| 5.80| 0.23
173.981667|-47.641667|11 35 55.6|-47 38 30| 5.25| 0.25
173.945000|-63.019722|11 35 46.8|-63 01 11| 3.13|-0.04
174.170417| -9.802222|11 36 40.9|-09 48 08| 4.70|-0.08
174.145833|-33.570000|11 36 35.0|-33 34 12| 5.74| 1.02
174.170000|-37.237778|11 36 40.8|-37 14 16| 6.31| 0.06
174.237083| -0.823889|11 36 56.9|-00 49 26| 4.30| 1.00
174.092917|-61.052222|11 36 22.3|-61 03 08| 5.83|-0.09
174.255000|-32.988056|11 37 01.2|-32 59 17| 6.29| 0.46
174.470833|+50.618333|11 37 53.0|+50 37 06| 6.14| 1.07
174.252500|-61.283333|11 37 00.6|-61 17 00| 5.15| 1.12
174.391250|-47.747222|11 37 33.9|-47 44 50| 5.44| 1.24
174.585833|+43.625556|11 38 20.6|+43 37 32| 5.59| 0.33
174.540833| +8.884167|11 38 09.8|+08 53 03| 6.17| 1.08
174.315000|-75.896667|11 37 15.6|-75 53 48| 5.65| 0.35
174.639583|+46.834167|11 38 33.5|+46 50 03| 6.10| 0.38
174.705000|+64.346944|11 38 49.2|+64 20 49| 6.46|
174.634167|+33.625556|11 38 32.2|+33 37 32| 6.27| 1.32
174.615000| +8.134167|11 38 27.6|+08 08 03| 5.36| 1.57
174.600417| -2.436111|11 38 24.1|-02 26 10| 6.22| 1.12
174.451667|-67.620278|11 37 48.4|-67 37 13| 5.96| 1.02
174.687083|+45.108611|11 38 44.9|+45 06 31| 6.44| 0.56
174.530417|-61.826389|11 38 07.3|-61 49 35| 5.15|-0.02
174.667083|-13.201944|11 38 40.1|-13 12 07| 5.48| 0.52
174.751667|-24.721111|11 39 00.4|-24 43 16| 6.42| 0.82
174.962917|-14.468611|11 39 51.1|-14 28 07| 6.21| 0.00
174.960000|-16.620278|11 39 50.4|-16 37 13| 6.19| 1.62
174.872500|-65.397778|11 39 29.4|-65 23 52| 5.17| 0.80
175.114167|+57.970556|11 40 27.4|+57 58 14| 6.37|-0.12
175.053333|-34.744722|11 40 12.8|-34 44 41| 4.70|-0.07
175.196250|+21.352778|11 40 47.1|+21 21 10| 5.26| 0.98
175.262500|+34.201667|11 41 03.0|+34 12 06| 5.33| 0.72
175.177500|-53.968611|11 40 42.6|-53 58 07| 5.96| 1.66
175.285000|-29.196389|11 41 08.4|-29 11 47| 6.44| 0.66
175.223333|-62.090000|11 40 53.6|-62 05 24| 4.94| 1.15
175.431667|+55.172500|11 41 43.6|+55 10 21| 6.27| 1.49
175.392917|+31.746111|11 41 34.3|+31 44 46| 5.73| 0.43
175.332500|-43.095833|11 41 19.8|-43 05 45| 5.55|
175.433333|-32.499722|11 41 44.0|-32 29 59| 5.22| 1.48
175.618333|+66.745000|11 42 28.4|+66 44 42| 5.30| 1.28
175.521667|+22.210833|11 42 05.2|+22 12 39| 6.59|
175.514583|-20.293889|11 42 03.5|-20 17 38| 6.22| 0.95
175.255000|-83.100000|11 41 01.2|-83 06 00| 6.33| 1.08
175.863333|-37.190278|11 43 27.2|-37 11 25| 5.98| 1.46
175.730833|-79.306389|11 42 55.4|-79 18 23| 6.39| 0.90
175.979583| -6.677222|11 43 55.1|-06 40 38| 6.07| 0.96
175.880000|-62.489444|11 43 31.2|-62 29 22| 5.03| 0.80
176.055000|+25.218333|11 44 13.2|+25 13 06| 6.02| 1.53
175.970417|-62.878333|11 43 52.9|-62 52 42| 6.10| 0.06
176.190833|-18.350833|11 44 45.8|-18 21 03| 4.73| 0.97
176.321250| +8.258333|11 45 17.1|+08 15 30| 4.85| 0.18
176.302500|-49.069722|11 45 12.6|-49 04 11| 6.26| 1.17
176.465000| +6.529444|11 45 51.6|+06 31 46| 4.03| 1.51
176.512500|+47.779444|11 46 03.0|+47 46 46| 3.71| 1.18
176.432917|-45.690000|11 45 43.9|-45 41 24| 5.29|-0.12
176.401667|-66.728611|11 45 36.4|-66 43 43| 3.64| 0.16
176.731667|+55.628333|11 46 55.6|+55 37 42| 5.27| 1.27
176.628333|-61.178333|11 46 30.8|-61 10 42| 4.11| 0.90
176.629583|-40.500556|11 46 31.1|-40 30 02| 4.91| 0.66
176.779167|-35.906944|11 47 07.0|-35 54 25| 6.17| 0.96
176.815417|-30.286944|11 47 15.7|-30 17 13| 6.48| 0.68
176.829583|-57.696389|11 47 19.1|-57 41 47| 5.41| 1.67
176.996250|+20.218889|11 47 59.1|+20 13 08| 4.53| 0.55
176.978750| +8.245833|11 47 54.9|+08 14 45| 5.32| 0.02
177.097917|-10.313333|11 48 23.5|-10 18 48| 6.26| 0.58
177.059583|-66.814722|11 48 14.3|-66 48 53| 4.72| 1.54
177.161250|+14.284167|11 48 38.7|+14 17 03| 5.88| 0.29
177.187917|-26.749722|11 48 45.1|-26 44 59| 5.11| 1.60
177.255000| -0.318611|11 49 01.2|-00 19 07| 6.15| 0.52
177.265000|+14.571944|11 49 03.6|+14 34 19| 2.14| 0.09
177.312083|+16.242778|11 49 14.9|+16 14 34| 6.04| 0.27
177.423750|+34.931667|11 49 41.7|+34 55 54| 5.70| 0.46
177.421250|-63.788333|11 49 41.1|-63 47 18| 4.32|-0.15
177.485833|-70.225833|11 49 56.6|-70 13 33| 4.97| 1.40
177.581250|-15.863889|11 50 19.5|-15 51 50| 6.13| 0.95
177.673750| +1.764722|11 50 41.7|+01 45 53| 3.61| 0.55
177.613333|-62.649444|11 50 27.2|-62 38 58| 5.70| 0.26
177.654583|-27.277778|11 50 37.1|-27 16 40| 6.48| 0.98
177.730417|+12.278889|11 50 55.3|+12 16 44| 6.35| 0.27
177.759167| -5.333333|11 51 02.2|-05 20 00| 5.64| 1.06
177.789167|+33.375000|11 51 09.4|+33 22 30| 6.27| 0.32
177.786250|-45.173611|11 51 08.7|-45 10 25| 4.46| 1.30
177.841250|-12.187778|11 51 21.9|-12 11 16| 6.35| 0.40
177.923333|-30.835000|11 51 41.6|-30 50 06| 5.85| 0.56
177.963333|-65.206111|11 51 51.2|-65 12 22| 4.90|-0.11
178.245000|+37.718611|11 52 58.8|+37 43 07| 6.45| 0.75
178.042083|-56.987778|11 52 10.1|-56 59 16| 5.57| 0.07
178.227500|-33.908056|11 52 54.6|-33 54 29| 4.28|-0.10
178.361667|-35.066667|11 53 26.8|-35 04 00| 6.17| 0.08
178.457500|+53.694722|11 53 49.8|+53 41 41| 2.44| 0.00
178.459583| +0.551944|11 53 50.3|+00 33 07| 6.30| 0.20
178.547917|-57.410000|11 54 11.5|-57 24 36| 6.06| 0.05
178.607500|-37.748889|11 54 25.8|-37 44 56| 6.46| 0.52
178.677083|-25.713889|11 54 42.5|-25 42 50| 5.30| 0.88
178.762917| +8.443889|11 55 03.1|+08 26 38| 5.58| 0.94
178.773750|+46.476944|11 55 05.7|+46 28 37| 6.54| 0.10
178.796667|+46.469722|11 55 11.2|+46 28 11| 7.03| 0.01
178.808750|+36.756389|11 55 14.1|+36 45 23| 6.49| 1.58
178.749167|-63.278889|11 54 59.8|-63 16 44| 5.91| 0.19
178.918750|+15.646667|11 55 40.5|+15 38 48| 5.53| 0.11
178.917083|-28.476944|11 55 40.1|-28 28 37| 5.93| 1.50
178.993333|+56.598611|11 55 58.4|+56 35 55| 5.84| 1.10
179.003750|-17.150833|11 56 00.9|-17 09 03| 5.18|-0.02
178.977917|-39.689167|11 55 54.7|-39 41 21| 6.13| 1.02
179.221667|+61.549167|11 56 53.2|+61 32 57| 6.22| 0.96
179.182917|-47.072500|11 56 43.9|-47 04 21| 6.26| 0.40
179.265417|-33.315278|11 57 03.7|-33 18 55| 6.21|-0.04
179.310833|+40.343611|11 57 14.6|+40 20 37| 6.62| 0.46
179.417083|-62.448889|11 57 40.1|-62 26 56| 5.57|-0.15
179.530000|+32.273889|11 58 07.2|+32 16 26| 6.42| 0.29
179.585833|+61.464722|11 58 20.6|+61 27 53| 6.76|
179.563333|-56.317222|11 58 15.2|-56 19 02| 5.44|-0.08
179.584583|-40.947222|11 58 20.3|-40 56 50| 6.79| 0.97
179.698750|-64.339167|11 58 47.7|-64 20 21| 5.61| 0.18
179.726667|-25.908889|11 58 54.4|-25 54 32| 6.43| 0.03
179.764167| +0.530556|11 59 03.4|+00 31 50| 6.17| 1.26
179.823333|+33.167500|11 59 17.6|+33 10 03| 5.96| 1.15
179.795417|-51.696667|11 59 10.9|-51 41 48| 6.05| 1.28
179.905417|-78.221944|11 59 37.3|-78 13 19| 4.91|-0.06
179.988333|+34.035000|11 59 57.2|+34 02 06| 6.50| 0.22
179.987083| +3.655278|11 59 56.9|+03 39 19| 5.37| 0.00
180.077500|+80.853056|12 00 18.6|+80 51 11| 6.17| 1.61
180.185417|-10.446111|12 00 44.5|-10 26 46| 5.55| 0.77
180.177083|-21.837222|12 00 42.5|-21 50 14| 6.28| 1.22
180.218333| +6.614167|12 00 52.4|+06 36 51| 4.66| 0.13
180.213333|-19.658889|12 00 51.2|-19 39 32| 5.26|-0.20
180.257500| -1.768056|12 01 01.8|-01 46 05| 6.31| 1.21
180.370833|-57.503611|12 01 29.0|-57 30 13| 6.16| 0.00
180.414583|+36.041944|12 01 39.5|+36 02 31| 5.59| 1.01
180.528333|+43.045556|12 02 06.8|+43 02 44| 5.21| 0.26
180.583750|-85.631667|12 02 20.1|-85 37 54| 6.05| 1.29
180.619167|-71.488889|12 02 28.6|-71 29 20| 6.42| 1.17
180.657083|-69.192222|12 02 37.7|-69 11 32| 5.89|-0.08
180.715000| -7.683611|12 02 51.6|-07 41 01| 6.22| 1.49
180.756250|-63.312778|12 03 01.5|-63 18 46| 4.33| 0.27
180.915000|-42.434167|12 03 39.6|-42 26 03| 5.15| 0.41
180.934583|-74.213889|12 03 44.3|-74 12 50| 6.44| 1.23
181.069167|+21.459167|12 04 16.6|+21 27 33| 5.87| 0.22
181.080000|-63.165556|12 04 19.2|-63 09 56| 4.72|-0.08
181.161250|-68.329167|12 04 38.7|-68 19 45| 5.35|-0.01
181.193750|-76.519167|12 04 46.5|-76 31 09| 5.04| 1.49
181.117083|+85.587222|12 04 28.1|+85 35 14| 6.27| 0.59
181.237917|-60.969167|12 04 57.1|-60 58 09| 5.96| 1.67
181.302083| +8.733056|12 05 12.5|+08 43 59| 4.12| 0.98
181.312917|+76.905833|12 05 15.1|+76 54 21| 5.80| 1.01
181.415417|+62.933056|12 05 39.7|+62 55 59| 6.13| 1.17
181.471667|-65.547222|12 05 53.2|-65 32 50| 6.33| 0.22
181.486250|-35.693889|12 05 56.7|-35 41 38| 6.23|-0.08
181.499167| -3.131667|12 05 59.8|-03 07 54| 6.37| 1.00
181.582500|-68.650833|12 06 19.8|-68 39 03| 6.23| 1.24
181.596250|-65.709167|12 06 23.1|-65 42 33| 6.06| 0.65
181.720417|-64.613611|12 06 52.9|-64 36 49| 4.15| 0.34
181.957500|-75.366944|12 07 49.8|-75 22 01| 5.18| 1.30
182.021667|-50.661389|12 08 05.2|-50 39 41| 4.47|-0.15
182.020000|-50.763333|12 08 04.8|-50 45 48| 6.37|-0.05
182.061250|-48.692778|12 08 14.7|-48 41 34| 5.34|-0.01
182.089583|-50.722500|12 08 21.5|-50 43 21| 2.60|-0.12
182.102500|-60.847222|12 08 24.6|-60 50 50| 6.22| 1.74
182.103333|-24.728889|12 08 24.8|-24 43 44| 4.02| 0.32
182.224167|-44.326111|12 08 53.8|-44 19 34| 5.75| 0.24
182.227083|-41.231389|12 08 54.5|-41 13 53| 5.48|-0.07
182.422083| +1.897778|12 09 41.3|+01 53 52| 5.95| 1.12
182.447083|+74.661389|12 09 47.3|+74 39 41| 6.35| 0.50
182.510417|-34.705000|12 10 02.5|-34 42 18| 6.17| 0.03
182.514167| +5.806944|12 10 03.4|+05 48 25| 5.72| 0.35
182.531250|-22.619722|12 10 07.5|-22 37 11| 3.00| 1.33
182.640833|-37.870278|12 10 33.8|-37 52 13| 6.06| 0.20
182.631667|+16.809167|12 10 31.6|+16 48 33| 6.39| 0.06
182.692083|+27.281389|12 10 46.1|+27 16 53| 6.01| 0.11
182.770417|-61.277500|12 11 04.9|-61 16 39| 6.08| 0.39
182.766250|-23.602500|12 11 03.9|-23 36 09| 5.46| 0.06
182.762083|-45.422778|12 11 02.9|-45 25 22| 6.61| 1.08
182.880833|-51.359444|12 11 31.4|-51 21 34| 6.23| 0.82
182.912917|-52.368611|12 11 39.1|-52 22 07| 3.96|-0.15
182.750000|+81.710000|12 11 00.0|+81 42 36| 6.00| 1.62
182.963333|+25.870278|12 11 51.2|+25 52 13| 5.66| 1.41
182.937083|+57.054444|12 11 44.9|+57 03 16| 6.43|
183.005000|+28.536111|12 12 01.2|+28 32 10| 6.49| 0.36
183.038750|+20.541944|12 12 09.3|+20 32 31| 5.57| 0.95
183.091667|-62.950833|12 12 22.0|-62 57 03| 5.92| 0.29
183.195000|-70.151944|12 12 46.8|-70 09 07| 6.17| 0.84
183.049583|+77.616389|12 12 11.9|+77 36 59| 5.14| 0.33
183.304167|-34.125556|12 13 13.0|-34 07 32| 6.50| 1.66
183.355417|-38.929167|12 13 25.3|-38 55 45| 5.76|-0.13
183.482083|-78.573611|12 13 55.7|-78 34 25| 6.35| 1.24
183.357917|+10.262222|12 13 25.9|+10 15 44| 5.85| 0.27
183.402917|-33.792778|12 13 36.7|-33 47 34| 6.33| 0.08
183.510833|-45.723889|12 14 02.6|-45 43 26| 5.31| 1.43
183.570000|-64.408611|12 14 16.8|-64 24 31| 6.22| 0.12
183.680833|+53.434722|12 14 43.4|+53 26 05| 6.16| 1.04
183.748333|-20.844167|12 14 59.6|-20 50 39| 5.83| 1.05
183.786250|-58.748889|12 15 08.7|-58 44 56| 2.80|-0.23
183.794167|-10.312500|12 15 10.6|-10 18 45| 6.11| 0.46
183.877083|-41.913056|12 15 30.5|-41 54 47| 6.26| 1.01
183.785417|+70.200000|12 15 08.5|+70 12 00| 5.71| 1.19
183.856667|+57.032500|12 15 25.6|+57 01 57| 3.31| 0.08
